date,fund,fund_id,universe,method,portfolio_return,growth_of_1,drawdown
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.018120376539992038,1.018120376539992,0.0
2021-01-06,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.04292892205165871,1.0618271868236826,0.0
2021-01-07,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.008096649680558624,1.070424429576687,0.0
2021-01-08,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.0005879417539889294,1.0710537767933248,0.0
2021-01-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.02319123273391307,1.0462147193851743,-0.023191232733912992
2021-01-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.001046732555649936,1.047309826392155,-0.022168775196571233
2021-01-13,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.013580453744663741,1.0615327690458054,-0.008889383478040469
2021-01-14,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.006197704066061712,1.0681118350047782,-0.0027467731801054107
2021-01-15,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.017586954570667255,1.0493270006861573,-0.020285420375638186
2021-01-19,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.00773456036166452,1.0574430837120887,-0.012707758822330772
2021-01-20,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.005222213668883325,1.0629652774379161,-0.007551907785270262
2021-01-21,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.03011198005010969,1.0309572882097462,-0.0374364849388098
2021-01-22,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.007203485763467952,1.0383837743581086,-0.030502672361632843
2021-01-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.0023735445007057802,1.0359191242608587,-0.032803817412097924
2021-01-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.0048779099646470885,1.0308660040420583,-0.037521713308911964
2021-01-27,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.033718246278866056,0.9961070102372576,-0.06997479321762323
2021-01-28,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.02468662839777536,1.0206975338434037,-0.04701560653722259
2021-01-29,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,-0.00785114478819076,1.01268388972025,-0.054497624991184934
2021-02-01,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.010133475038865677,1.0229458966389915,-0.04491640027484489
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.021403561784053608,1.0448405823394482,-0.024474209439191208
2021-02-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,0.009654197148475107,1.0549276793100808,-0.01505629113369511
