date,fund,fund_id,universe,method,weight_effective_date,portfolio_lagged_sentiment,total_equity_weight,observed_equity_weight,missing_equity_weight,sentiment_weight_coverage,observed_sector_count,missing_sector_count,latest_signal_source_date
2021-02-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.06850603395061727,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-02-11
2021-02-16,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.18147138888888883,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-02-12
2021-02-17,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.09911612007575757,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-16
2021-02-18,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.12081449025974024,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-17
2021-02-19,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.15107192768959435,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-02-18
2021-02-22,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.2274644722222222,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-19
2021-02-23,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.11893975277777775,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-22
2021-02-24,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.12217820436507933,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-23
2021-02-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.023648552182539688,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-24
2021-02-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.10602970833333332,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-25
2021-03-01,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.04888910555555554,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-26
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-03-02,0.11874578333333331,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-03-01
2021-03-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-03-02,0.047329416666666686,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-03-02
2021-03-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-03-02,0.11563432419432414,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-03-03
