effective_date,fund,fund_id,universe,method,allocation_group,target_weight
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-03-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-04-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-05-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-06-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-07-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-08-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-09-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-10-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Industrials,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Materials,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,RealEstate,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Tech,0.08333333333333301
2021-11-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Utilities,0.08333333333333301
2021-12-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Comm,0.08333333333333301
2021-12-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Consumer,0.08333333333333301
2021-12-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Crypto,0.16666666666666602
2021-12-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Energy,0.08333333333333301
2021-12-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Financials,0.08333333333333301
2021-12-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,Healthcare,0.08333333333333301
