fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,50,GS,equity,Financials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,51,KO,equity,Consumer,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,52,NEE,equity,Utilities,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,53,NEM,equity,Materials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,54,SHW,equity,Materials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,55,UPS,equity,Industrials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,56,USB,equity,Financials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,57,ADA-USD,crypto,Crypto,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,58,ETC-USD,crypto,Crypto,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,59,LTC-USD,crypto,Crypto,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,60,TRX-USD,crypto,Crypto,0.0
