model,headline_count,mean_score,score_std,minimum,p05,median,p95,maximum,negative_ratio,neutral_ratio,positive_ratio,classification_rule
VADER,146830,0.10561014370360282,0.288147726834763,-0.9186,-0.4019,0.0,0.6369,0.9552,0.12983722672478376,0.4957161343049786,0.37444663897023767,negative <= -0.05; positive >= 0.05
Loughran-McDonald 2018,146830,0.0023356594786612746,0.06266987767825836,-1.0,-0.1111111111111111,0.0,0.125,0.5,0.1106449635633045,0.7542940815909556,0.13506095484573996,negative < 0; positive > 0
